앞면,뒷면,메모,학습제외,예문1,예문1_해석
聞けば聞くほどわからなくなる,들으면 들을수록 알 수 없게 된다.,"문형: [[~ば~ほど / ~ほど]]
뜻: ~하면 ~할수록
메모: 반복형 「聞けば聞くほど」와 단독형 「勉強するほど」를 함께 확인. 정도를 뜻하는 54번 「~ほど」와 구분.
원본파일: N3-N2-문형-03.csv
문형카드순번: 1
예문순번: 1/2",아니오,聞け[[ば]]聞く[[ほど]]わからなくなる,들으면 들을[[수록]] 알 수 없게 된다.
外国語は勉強するほど難しくなる,외국어는 공부할수록 어려워진다.,"문형: [[~ば~ほど / ~ほど]]
뜻: ~하면 ~할수록
메모: 반복형 「聞けば聞くほど」와 단독형 「勉強するほど」를 함께 확인. 정도를 뜻하는 54번 「~ほど」와 구분.
원본파일: N3-N2-문형-03.csv
문형카드순번: 1
예문순번: 2/2",아니오,外国語は勉強する[[ほど]]難しくなる,외국어는 공부할[[수록]] 어려워진다.
旅費が高いといっても,여비가 비싸다고는 해도,"문형: [[~といっても]]
뜻: ~라고는 해도
메모: 앞 내용을 인정하면서도 실제는 그 정도가 아니라는 뉘앙스.
원본파일: N3-N2-문형-03.csv
문형카드순번: 2",아니오,旅費が高い[[といっても]],여비가 비싸[[다고는 해도]]
勉強についてはもちろんのこと,공부에 대해서는 물론이고,"문형: [[~はもちろん(のこと)]]
뜻: ~은 물론
메모: 그것은 당연하고 다른 것도 그러함. 「は言うまでもなく」와 유사.
원본파일: N3-N2-문형-03.csv
문형카드순번: 3",아니오,勉強について[[はもちろん]]のこと,공부에 대해서[[는 물론]]이고
"1,000メートルを泳ぎきった","1,000미터를 끝까지 헤엄쳤다.","문형: [[~きる]]
뜻: 끝까지 ~하다 / 완전히 ~하다
메모: 동작을 끝까지 다 함. 「~きれない」(다 못 함)와 짝.
원본파일: N3-N2-문형-03.csv
문형카드순번: 4",아니오,"1,000メートルを泳ぎ[[きった]]","1,000미터를 [[끝까지]] 헤엄쳤다."
案内書どおりだった,안내서대로였다.,"문형: [[~どおり]]
뜻: ~대로, ~한 그대로
메모: 어떤 것과 똑같이. 명사 뒤. 「予定どおり」 등.
원본파일: N3-N2-문형-03.csv
문형카드순번: 5",아니오,案内書[[どおり]]だった,안내서[[대로]]였다.
彼女はいつも明るい反面,그녀는 늘 밝은 반면,"문형: [[~反面]]
뜻: ~한 반면
메모: 한 대상의 상반된 두 측면을 대조함.
원본파일: N3-N2-문형-03.csv
문형카드순번: 6",아니오,彼女はいつも明るい[[反面]],그녀는 늘 밝은 [[반면]]
今年こそ大学に入れるよう,올해야말로 대학에 들어갈 수 있도록,"문형: [[~こそ]]
뜻: ~야말로
메모: 바로 그것임을 강조. 「今年こそ」 등.
원본파일: N3-N2-문형-03.csv
문형카드순번: 7",아니오,今年[[こそ]]大学に入れるよう,올해[[야말로]] 대학에 들어갈 수 있도록
数学とか物理とか,수학이라든가 물리라든가,"문형: [[~とか~とか]]
뜻: ~라든가 ~라든가
메모: 여러 예를 나열함. [[구어적]].
원본파일: N3-N2-문형-03.csv
문형카드순번: 8",아니오,数学[[とか]]物理[[とか]],수학[[이라든가]] 물리[[라든가]]
すぐに警察に届けるべきだ,바로 경찰에 신고해야 한다.,"문형: [[~べきだ]]
뜻: ~해야 한다
메모: 당연히 그렇게 하는 것이 옳다는 의무·당위.
원본파일: N3-N2-문형-03.csv
문형카드순번: 9",아니오,すぐに警察に届ける[[べきだ]],바로 경찰에 신고[[해야 한다]].
顔色が悪いことから,안색이 나쁘다는 점에서,"문형: [[~ことから]]
뜻: ~때문에, ~라는 점에서
메모: 어떤 사실을 근거·판단의 출발점으로 삼음.
원본파일: N3-N2-문형-03.csv
문형카드순번: 10",아니오,顔色が悪い[[ことから]],안색이 나쁘다[[는 점에서]]
会議が始まるところだった,회의가 막 시작되려는 참이었다.,"문형: [[~ところだ]]
뜻: 막 ~하려는 참이다
메모: ところ 계열: Vるところだ=막 하려는 참, Vているところだ=한창 하는 중, Vたところだ=막 한 참.
원본파일: N3-N2-문형-03.csv
문형카드순번: 11",아니오,会議が始まる[[ところ]]だった,회의가 막 시작되려는 [[참]]이었다.
学校をやめて働くほかなかった,학교를 그만두고 일할 수밖에 없었다.,"문형: [[~ほかない]]
뜻: ~할 수 밖에 없다
메모: 다른 선택지가 없음. 「ほかはない」「よりほかない」와 유사.
원본파일: N3-N2-문형-03.csv
문형카드순번: 12",아니오,学校をやめて働く[[ほかなかった]],학교를 그만두고 일할 [[수밖에 없었다]].
行ったことは行ったが,가기는 갔지만,"문형: [[~ことは~が]]
뜻: ~하기는 ~지만
메모: 대조 문형. 앞의 동사를 다시 반복하는 구조라 한 카드로 유지.
원본파일: N3-N2-문형-03.csv
문형카드순번: 13",아니오,行った[[ことは]]行った[[が]],가[[기는]] 갔[[지만]]
100万円があったとしたら,100만 엔이 있다고 한다면,"문형: [[~としたら]]
뜻: ~라고 한다면
메모: 어떤 상황을 가정함. 「とすれば」「とすると」와 유사.
원본파일: N3-N2-문형-03.csv
문형카드순번: 14",아니오,100万円があった[[としたら]],100만 엔이 [[있다고 한다면]]
